"date","statename","statepostal","fips","m50","m50_index"
2020-03-07,"Indiana","IN",18,7.864,94
2020-03-07,"Kansas","KS",20,7.837,106
2020-03-07,"Kentucky","KY",21,8.522,98
2020-03-07,"Louisiana","LA",22,9.553,101
2020-03-07,"Massachusetts","MA",25,5.291,87
2020-03-07,"Maryland","MD",24,6.328,79
2020-03-07,"Maine","ME",23,5.772,81
2020-03-07,"Michigan","MI",26,7.024,87
2020-03-07,"Minnesota","MN",27,6.44,87
2020-03-07,"Missouri","MO",29,9.226,98
2020-03-07,"Mississippi","MS",28,12.394,110
2020-03-07,"Montana","MT",30,3.859,92
2020-03-07,"North Carolina","NC",37,9.091,93
2020-03-07,"North Dakota","ND",38,3.919,91
2020-03-07,"Nebraska","NE",31,6.87,102
2020-03-07,"New Hampshire","NH",33,7.249,82
2020-03-07,"New Jersey","NJ",34,5.912,82
2020-03-07,"New Mexico","NM",35,5.578,93
2020-03-07,"Nevada","NV",32,5.988,84
2020-03-07,"New York","NY",36,3.988,77
2020-03-07,"Ohio","OH",39,7.455,93
2020-03-07,"Oklahoma","OK",40,10.058,104
2020-03-07,"Oregon","OR",41,4.053,78
2020-03-07,"Pennsylvania","PA",42,5.676,89
2020-03-07,"Rhode Island","RI",44,5.344,87
2020-03-07,"South Carolina","SC",45,9.738,101
2020-03-07,"South Dakota","SD",46,5.716,111
2020-03-07,"Tennessee","TN",47,10.103,98
2020-03-07,"Texas","TX",48,9.312,102
2020-03-07,"Utah","UT",49,6.102,86
2020-03-07,"Virginia","VA",51,6.935,86
2020-03-07,"Vermont","VT",50,5.046,85
2020-03-07,"Washington","WA",53,4.401,71
2020-03-07,"Wisconsin","WI",55,5.985,90
2020-03-07,"West Virginia","WV",54,7.001,90
2020-03-07,"Wyoming","WY",56,3.998,99
2020-03-08,"Alaska","AK",2,0.816,20
2020-03-08,"Alabama","AL",1,8.513,80
2020-03-08,"Arkansas","AR",5,7.334,76
2020-03-08,"Arizona","AZ",4,4.902,62
2020-03-08,"California","CA",6,4.292,62
2020-03-08,"Colorado","CO",8,4.284,60
2020-03-08,"Connecticut","CT",9,4.067,60
2020-03-08,"Washington, D.C.","DC",11,4.506,123
2020-03-08,"Delaware","DE",10,5.37,64
2020-03-08,"Florida","FL",12,5.558,68
2020-03-08,"Georgia","GA",13,7.459,76
2020-03-08,"Hawaii","HI",15,5.32,78
2020-03-08,"Iowa","IA",19,4.733,68
2020-03-08,"Idaho","ID",16,2.806,51
2020-03-08,"Illinois","IL",17,5.052,69
2020-03-08,"Indiana","IN",18,5.651,67
2020-03-08,"Kansas","KS",20,5.208,70
